YYYY-MM,UnitID,Starting Cash,Savings In,Gross Revenue,Mgmt Expense,CapEx Operating,HOA,Insurance,Property Tax,Debt Service (Total),Scheduled Principal,Interest Portion,Ops Net,Rainy Top-Up,Capex Top-Up,Rainy Balance,Capex Balance,Liquidity Required,Liquidity Actual,Liquidity Ratio,Freeze Flag,Accessible Principal,Deployable (Cash+Accessible),Feeder Draw (Net),Feeder Prepay,Purchase: Down Payment,Purchase: Closing Costs,Purchase: Initial Rainy Funding,Purchase Out (Total),New Loan Principal,Loan Balance (End),End Cash,Units Owned
Y1-01,TOTAL,5000.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,0.0,271.85,271.85,271.85,1.0,0,0.0,8894.82,0.0,0.0,76698.64,11504.8,0.0,0.0,0.0,0,8894.82,0
Y1-02,TOTAL,8894.82,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,13061.48,0.0,0.0,76887.8,11533.17,0.0,0.0,0.0,0,13061.48,0
Y1-03,TOTAL,13061.48,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,17228.15,0.0,0.0,77077.42,11561.61,0.0,0.0,0.0,0,17228.15,0
Y1-04,TOTAL,17228.15,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,21394.82,0.0,0.0,77267.52,11590.13,0.0,0.0,0.0,0,21394.82,0
Y1-05,TOTAL,21394.82,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,25561.48,0.0,0.0,77458.08,11618.71,0.0,0.0,0.0,0,25561.48,0
Y1-06,TOTAL,25561.48,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,29728.15,0.0,0.0,77649.11,11647.37,0.0,0.0,0.0,0,29728.15,0
Y1-07,TOTAL,29728.15,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,33894.82,0.0,0.0,77840.62,11676.09,0.0,0.0,0.0,0,33894.82,0
Y1-08,TOTAL,33894.82,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,38061.48,0.0,0.0,78032.59,11704.89,0.0,0.0,0.0,0,38061.48,0
Y1-09,TOTAL,38061.48,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,42228.15,0.0,0.0,78225.04,11733.76,0.0,0.0,0.0,0,42228.15,0
Y1-10,TOTAL,42228.15,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,46394.82,0.0,0.0,78417.97,11762.69,0.0,0.0,0.0,0,46394.82,0
Y1-11,TOTAL,46394.82,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,50561.48,0.0,0.0,78611.37,11791.7,0.0,0.0,0.0,0,50561.48,0
Y1-12,TOTAL,50561.48,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,54728.15,0.0,0.0,78805.24,11820.79,0.0,0.0,0.0,0,54728.15,0
Y2-01,TOTAL,54728.15,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,58894.82,0.0,0.0,78375.48,11756.32,0.0,0.0,0.0,0,58894.82,0
Y2-02,TOTAL,58894.82,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,63061.48,0.0,0.0,78568.77,11785.32,0.0,0.0,0.0,0,63061.48,0
Y2-03,TOTAL,63061.48,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,67228.15,0.0,0.0,78762.55,11814.38,0.0,0.0,0.0,0,67228.15,0
Y2-04,TOTAL,67228.15,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,71394.82,0.0,0.0,78956.8,11843.52,0.0,0.0,0.0,0,71394.82,0
Y2-05,TOTAL,71394.82,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,75561.48,0.0,0.0,79151.52,11872.73,0.0,0.0,0.0,0,75561.48,0
Y2-06,TOTAL,75561.48,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,271.85,271.85,1.0,0,0.0,79728.15,0.0,0.0,79346.73,11902.01,0.0,0.0,0.0,0,79728.15,0
