Year,Month,Units,HOA_Annual,PriceParity,GrossIncome,Mgmt,CapexOps,HOA_Monthly_Total,Insurance,Tax,DebtService_Total,Debt_Principal,Debt_Interest,NOI,SavingsToCash,SavingsToHY,HY_Savings,RainyTarget,RainyBalance,RainyTopup,CapexTarget,CapexBalance,CapexTopup,LiquidityRequired,LiquidityActual,LiquidityRatio,FreezeFlag,AccessiblePrincipal,Deployable,Purchase,Purchase_DP,Purchase_Closing,Purchase_Rainy,Purchase_Total,FeederDraw_Net,FeederPrepay,EndCash,TotalValue,TotalDebt
1,1,0,9017.04,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,9166.67,0,126027.85,18904.18,0.0,0.0,0.0,0.0,9166.67,0.0,0.0
1,2,0,9017.04,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,13333.33,0,126027.85,18904.18,0.0,0.0,0.0,0.0,13333.33,0.0,0.0
1,3,0,9017.04,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,17500.0,0,126027.85,18904.18,0.0,0.0,0.0,0.0,17500.0,0.0,0.0
1,4,0,9017.04,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,21666.67,0,126027.85,18904.18,0.0,0.0,0.0,0.0,21666.67,0.0,0.0
1,5,0,9017.04,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,25833.33,0,126027.85,18904.18,0.0,0.0,0.0,0.0,25833.33,0.0,0.0
1,6,0,9017.04,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,30000.0,0,126027.85,18904.18,0.0,0.0,0.0,0.0,30000.0,0.0,0.0
1,7,0,9017.04,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,34166.67,0,126027.85,18904.18,0.0,0.0,0.0,0.0,34166.67,0.0,0.0
1,8,0,9017.04,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,38333.33,0,126027.85,18904.18,0.0,0.0,0.0,0.0,38333.33,0.0,0.0
1,9,0,9017.04,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,42500.0,0,126027.85,18904.18,0.0,0.0,0.0,0.0,42500.0,0.0,0.0
1,10,0,9017.04,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,46666.67,0,126027.85,18904.18,0.0,0.0,0.0,0.0,46666.67,0.0,0.0
1,11,0,9017.04,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,50833.33,0,126027.85,18904.18,0.0,0.0,0.0,0.0,50833.33,0.0,0.0
1,12,0,9017.04,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,55000.0,0,126027.85,18904.18,0.0,0.0,0.0,0.0,55000.0,0.0,0.0
2,1,0,9287.551200000002,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,59166.67,0,126027.85,18904.18,0.0,0.0,0.0,0.0,59166.67,0.0,0.0
2,2,0,9287.551200000002,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,63333.33,0,126027.85,18904.18,0.0,0.0,0.0,0.0,63333.33,0.0,0.0
2,3,0,9287.551200000002,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,67500.0,0,126027.85,18904.18,0.0,0.0,0.0,0.0,67500.0,0.0,0.0
2,4,0,9287.551200000002,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,71666.67,0,126027.85,18904.18,0.0,0.0,0.0,0.0,71666.67,0.0,0.0
2,5,0,9287.551200000002,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,75833.33,0,126027.85,18904.18,0.0,0.0,0.0,0.0,75833.33,0.0,0.0
2,6,0,9287.551200000002,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,80000.0,0,126027.85,18904.18,0.0,0.0,0.0,0.0,80000.0,0.0,0.0
2,7,0,9287.551200000002,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,84166.67,0,126027.85,18904.18,0.0,0.0,0.0,0.0,84166.67,0.0,0.0
2,8,0,9287.551200000002,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,88333.33,0,126027.85,18904.18,0.0,0.0,0.0,0.0,88333.33,0.0,0.0
2,9,0,9287.551200000002,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,92500.0,0,126027.85,18904.18,0.0,0.0,0.0,0.0,92500.0,0.0,0.0
2,10,0,9287.551200000002,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,96666.67,0,126027.85,18904.18,0.0,0.0,0.0,0.0,96666.67,0.0,0.0
2,11,0,9287.551200000002,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,100833.33,0,126027.85,18904.18,0.0,0.0,0.0,0.0,100833.33,0.0,0.0
2,12,0,9287.551200000002,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,105000.0,0,126027.85,18904.18,0.0,0.0,0.0,0.0,105000.0,0.0,0.0
3,1,0,9566.177736000001,630139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,109166.67,0,126027.85,18904.18,0.0,0.0,0.0,0.0,109166.67,0.0,0.0
