Year,Month,Units,PriceParity,GrossIncome,Mgmt,CapexOps,HOA_Monthly_Total,Insurance,Tax,DebtService_Total,NOI,SavingsToCash,RainyTarget,RainyBalance,RainyTopup,CapexBalance,LiquidityRequired,LiquidityActual,FreezeFlag,Purchase,Purchase_DP,Purchase_Closing,Purchase_Total,FeederDraw_Net,FeederPrepay,EndCash,TotalValue,TotalDebt
1,1,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,9166.67,1,0.0,0.0,0.0,0.0,0.0,0.0,9166.67,0.0,0.0
1,2,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,13333.34,1,0.0,0.0,0.0,0.0,0.0,0.0,13333.34,0.0,0.0
1,3,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,17500.01,1,0.0,0.0,0.0,0.0,0.0,0.0,17500.01,0.0,0.0
1,4,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,21666.68,1,0.0,0.0,0.0,0.0,0.0,0.0,21666.68,0.0,0.0
1,5,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,25833.35,1,0.0,0.0,0.0,0.0,0.0,0.0,25833.35,0.0,0.0
1,6,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,30000.02,1,0.0,0.0,0.0,0.0,0.0,0.0,30000.02,0.0,0.0
1,7,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,34166.69,1,0.0,0.0,0.0,0.0,0.0,0.0,34166.69,0.0,0.0
1,8,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,38333.36,1,0.0,0.0,0.0,0.0,0.0,0.0,38333.36,0.0,0.0
1,9,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,42500.03,1,0.0,0.0,0.0,0.0,0.0,0.0,42500.03,0.0,0.0
1,10,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,46666.7,1,0.0,0.0,0.0,0.0,0.0,0.0,46666.7,0.0,0.0
1,11,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,50833.37,1,0.0,0.0,0.0,0.0,0.0,0.0,50833.37,0.0,0.0
1,12,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,55000.04,1,0.0,0.0,0.0,0.0,0.0,0.0,55000.04,0.0,0.0
2,1,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,59166.71,1,0.0,0.0,0.0,0.0,0.0,0.0,59166.71,0.0,0.0
2,2,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,63333.38,1,0.0,0.0,0.0,0.0,0.0,0.0,63333.38,0.0,0.0
2,3,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,67500.05,1,0.0,0.0,0.0,0.0,0.0,0.0,67500.05,0.0,0.0
2,4,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,71666.72,1,0.0,0.0,0.0,0.0,0.0,0.0,71666.72,0.0,0.0
2,5,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,75833.39,1,0.0,0.0,0.0,0.0,0.0,0.0,75833.39,0.0,0.0
2,6,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,80000.06,1,0.0,0.0,0.0,0.0,0.0,0.0,80000.06,0.0,0.0
2,7,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,84166.73,1,0.0,0.0,0.0,0.0,0.0,0.0,84166.73,0.0,0.0
2,8,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,88333.4,1,0.0,0.0,0.0,0.0,0.0,0.0,88333.4,0.0,0.0
2,9,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,92500.07,1,0.0,0.0,0.0,0.0,0.0,0.0,92500.07,0.0,0.0
2,10,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,96666.74,1,0.0,0.0,0.0,0.0,0.0,0.0,96666.74,0.0,0.0
2,11,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,100833.41,1,0.0,0.0,0.0,0.0,0.0,0.0,100833.41,0.0,0.0
2,12,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,105000.08,1,0.0,0.0,0.0,0.0,0.0,0.0,105000.08,0.0,0.0
3,1,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,109166.75,1,0.0,0.0,0.0,0.0,0.0,0.0,109166.75,0.0,0.0
3,2,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,113333.42,1,0.0,0.0,0.0,0.0,0.0,0.0,113333.42,0.0,0.0
3,3,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,117500.09,1,0.0,0.0,0.0,0.0,0.0,0.0,117500.09,0.0,0.0
3,4,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,121666.76,1,0.0,0.0,0.0,0.0,0.0,0.0,121666.76,0.0,0.0
3,5,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,125833.43,1,0.0,0.0,0.0,0.0,0.0,0.0,125833.43,0.0,0.0
3,6,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,130000.1,1,0.0,0.0,0.0,0.0,0.0,0.0,130000.1,0.0,0.0
3,7,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,134166.77,1,0.0,0.0,0.0,0.0,0.0,0.0,134166.77,0.0,0.0
3,8,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,138333.44,1,0.0,0.0,0.0,0.0,0.0,0.0,138333.44,0.0,0.0
3,9,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,142500.11,1,0.0,0.0,0.0,0.0,0.0,0.0,142500.11,0.0,0.0
3,10,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,146666.78,1,0.0,0.0,0.0,0.0,0.0,0.0,146666.78,0.0,0.0
3,11,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,150833.45,1,0.0,0.0,0.0,0.0,0.0,0.0,150833.45,0.0,0.0
3,12,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,155000.12,1,0.0,0.0,0.0,0.0,0.0,0.0,155000.12,0.0,0.0
4,1,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,159166.79,1,0.0,0.0,0.0,0.0,0.0,0.0,159166.79,0.0,0.0
4,2,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,163333.46,1,0.0,0.0,0.0,0.0,0.0,0.0,163333.46,0.0,0.0
4,3,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,167500.13,1,0.0,0.0,0.0,0.0,0.0,0.0,167500.13,0.0,0.0
4,4,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,171666.8,1,0.0,0.0,0.0,0.0,0.0,0.0,171666.8,0.0,0.0
4,5,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,175833.47,1,0.0,0.0,0.0,0.0,0.0,0.0,175833.47,0.0,0.0
4,6,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,180000.14,1,0.0,0.0,0.0,0.0,0.0,0.0,180000.14,0.0,0.0
4,7,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,184166.81,1,0.0,0.0,0.0,0.0,0.0,0.0,184166.81,0.0,0.0
4,8,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,188333.48,1,0.0,0.0,0.0,0.0,0.0,0.0,188333.48,0.0,0.0
4,9,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,192500.15,1,0.0,0.0,0.0,0.0,0.0,0.0,192500.15,0.0,0.0
4,10,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,196666.82,1,0.0,0.0,0.0,0.0,0.0,0.0,196666.82,0.0,0.0
4,11,0,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,200833.49,1,0.0,0.0,0.0,0.0,0.0,0.0,200833.49,0.0,0.0
4,12,1,721126.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,201915.54,205000.16,0,165859.19230769234,144225.38461538465,21633.807692307695,165859.19230769234,0.0,0.0,39140.97,722929.74,576414.48
5,1,1,721126.92,12022.05,2404.41,1202.2,1451.19,1988.06,331.34,3780.2,5847.049999999999,4166.67,45304.74,44172.28,44172.28,1202.2,247220.28,44172.28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724737.06,575924.65
5,2,1,721126.92,10858.63,2171.73,1085.86,1451.19,1993.03,332.17,3780.2,4910.509999999999,4166.67,45339.54,45339.54,1167.26,2288.06,247255.08,48383.4,1,0.0,0.0,0.0,0.0,0.0,0.0,3043.86,726548.91,575432.02
5,3,1,721126.92,12022.05,2404.41,1202.2,1451.19,1998.01,333.0,3780.2,5835.439999999999,4166.67,45374.4,45374.4,34.86,3490.26,247289.94,53403.11,1,0.0,0.0,0.0,0.0,0.0,0.0,8028.71,728365.28,574936.58
5,4,1,721126.92,11634.24,2326.85,1163.42,1451.19,2003.0,333.83,3780.2,5519.369999999999,4166.67,45409.32,45409.32,34.92,4653.68,247324.86,58145.53,1,0.0,0.0,0.0,0.0,0.0,0.0,12736.21,730186.19,574438.31
5,5,1,721126.92,12022.05,2404.41,1202.2,1451.19,2008.01,334.67,3780.2,5823.769999999999,4166.67,45444.42,45444.42,35.1,5855.88,247359.96,63153.57,1,0.0,0.0,0.0,0.0,0.0,0.0,17709.15,732011.66,573937.19
5,6,1,721126.92,11634.24,2326.85,1163.42,1451.19,2013.03,335.51,3780.2,5507.659999999999,4166.67,45479.58,45479.58,35.16,7019.3,247395.12,67884.28,1,0.0,0.0,0.0,0.0,0.0,0.0,22404.7,733841.69,573433.21
5,7,1,721126.92,12022.05,2404.41,1202.2,1451.19,2018.06,336.34,3780.2,5812.049999999999,4166.67,45514.74,45514.74,35.16,8221.5,247430.28,72880.6,1,0.0,0.0,0.0,0.0,0.0,0.0,27365.86,735676.29,572926.36
5,8,1,721126.92,12022.05,2404.41,1202.2,1451.19,2023.11,337.18,3780.2,5806.159999999999,4166.67,45550.08,45550.08,35.34,9423.7,247465.62,77871.03,1,0.0,0.0,0.0,0.0,0.0,0.0,32320.95,737515.48,572416.62
5,9,1,721126.92,11634.24,2326.85,1163.42,1451.19,2028.17,338.03,3780.2,5489.999999999999,4166.67,45585.54,45585.54,35.46,10587.12,247501.08,82584.08,1,0.0,0.0,0.0,0.0,0.0,0.0,36998.54,739359.27,571903.96
5,10,1,721126.92,12022.05,2404.41,1202.2,1451.19,2033.24,338.87,3780.2,5794.339999999999,4166.67,45621.0,45621.0,35.46,11789.32,247536.54,87562.69,1,0.0,0.0,0.0,0.0,0.0,0.0,41941.69,741207.67,571388.38
5,11,1,721126.92,11634.24,2326.85,1163.42,1451.19,2038.32,339.72,3780.2,5478.159999999999,4166.67,45656.58,45656.58,35.58,12952.74,247572.12,92263.9,1,0.0,0.0,0.0,0.0,0.0,0.0,46607.32,743060.69,570869.85
5,12,1,721126.92,12022.05,2404.41,1202.2,1451.19,2043.42,340.57,3780.2,5782.459999999999,4166.67,45692.28,45692.28,35.7,14154.94,247607.82,97230.63,1,0.0,0.0,0.0,0.0,0.0,0.0,51538.35,744918.34,570348.37
6,1,1,721126.92,12502.93,2500.59,1250.29,1567.28,2048.53,341.42,3780.2,6045.109999999999,4166.67,46424.58,46424.58,732.3,15405.23,248340.12,102411.92,1,0.0,0.0,0.0,0.0,0.0,0.0,55987.34,746780.64,569823.91
6,2,1,721126.92,11292.97,2258.59,1129.3,1567.28,2053.65,342.27,3780.2,5071.1799999999985,4166.67,46460.4,46460.4,35.82,16534.53,248375.94,106740.27,1,0.0,0.0,0.0,0.0,0.0,0.0,60279.87,748647.59,569296.45
6,3,1,721126.92,12502.93,2500.59,1250.29,1567.28,2058.78,343.13,3780.2,6033.149999999999,4166.67,46496.34,46496.34,35.94,17784.82,248411.88,111909.6,1,0.0,0.0,0.0,0.0,0.0,0.0,65413.26,750519.21,568765.98
6,4,1,721126.92,12099.61,2419.92,1209.96,1567.28,2063.93,343.99,3780.2,5704.490000000002,4166.67,46532.4,46532.4,36.06,18994.78,248447.94,116790.6,1,0.0,0.0,0.0,0.0,0.0,0.0,70258.2,752395.5,568232.49
6,5,1,721126.92,12502.93,2500.59,1250.29,1567.28,2069.09,344.85,3780.2,6021.119999999999,4166.67,46568.52,46568.52,36.12,20245.07,248484.06,121947.9,1,0.0,0.0,0.0,0.0,0.0,0.0,75379.38,754276.49,567695.95
6,6,1,721126.92,12099.61,2419.92,1209.96,1567.28,2074.26,345.71,3780.2,5692.4400000000005,4166.67,46604.7,46604.7,36.18,21455.03,248520.24,126816.85,1,0.0,0.0,0.0,0.0,0.0,0.0,80212.15,756162.18,567156.35
6,7,1,721126.92,12502.93,2500.59,1250.29,1567.28,2079.45,346.57,3780.2,6009.04,4166.67,46641.0,46641.0,36.3,22705.32,248556.54,131962.07,1,0.0,0.0,0.0,0.0,0.0,0.0,85321.07,758052.59,566613.66
6,8,1,721126.92,12502.93,2500.59,1250.29,1567.28,2084.64,347.44,3780.2,6002.9800000000005,4166.67,46677.36,46677.36,36.36,23955.61,248592.9,137101.23,1,0.0,0.0,0.0,0.0,0.0,0.0,90423.87,759947.72,566067.88
6,9,1,721126.92,12099.61,2419.92,1209.96,1567.28,2089.86,348.31,3780.2,5674.240000000001,4166.67,46713.9,46713.9,36.54,25165.57,248629.44,141951.98,1,0.0,0.0,0.0,0.0,0.0,0.0,95238.08,761847.59,565518.99
6,10,1,721126.92,12502.93,2500.59,1250.29,1567.28,2095.08,349.18,3780.2,5990.799999999999,4166.67,46750.44,46750.44,36.54,26415.86,248665.98,147078.96,1,0.0,0.0,0.0,0.0,0.0,0.0,100328.52,763752.21,564966.96
6,11,1,721126.92,12099.61,2419.92,1209.96,1567.28,2100.32,350.05,3780.2,5662.04,4166.67,46787.1,46787.1,36.66,27625.82,248702.64,151917.51,1,0.0,0.0,0.0,0.0,0.0,0.0,105130.41,765661.59,564411.78
6,12,1,721126.92,12502.93,2500.59,1250.29,1567.28,2105.57,350.93,3780.2,5978.5599999999995,4166.67,46823.88,46823.88,36.78,28876.11,248739.42,157032.25,1,0.0,0.0,0.0,0.0,0.0,0.0,110208.37,767575.74,563853.43
7,1,1,721126.92,13003.05,2600.61,1300.3,1692.67,2110.83,351.81,3780.2,6247.129999999998,4166.67,47613.06,47613.06,789.18,30176.41,249528.6,162365.55,1,0.0,0.0,0.0,0.0,0.0,0.0,114752.49,769494.68,563291.89
7,2,1,721126.92,11744.69,2348.94,1174.47,1692.67,2116.11,352.69,3780.2,5234.28,4166.67,47650.02,47650.02,36.96,31350.88,249565.56,166811.83,1,0.0,0.0,0.0,0.0,0.0,0.0,119161.81,771418.42,562727.15
7,3,1,721126.92,13003.05,2600.61,1300.3,1692.67,2121.4,353.57,3780.2,6234.799999999999,4166.67,47687.04,47687.04,37.02,32651.18,249602.58,172132.8,1,0.0,0.0,0.0,0.0,0.0,0.0,124445.76,773346.97,562159.18
7,4,1,721126.92,12583.6,2516.72,1258.36,1692.67,2126.7,354.45,3780.2,5893.060000000001,4166.67,47724.12,47724.12,37.08,33909.54,249639.66,177153.97,1,0.0,0.0,0.0,0.0,0.0,0.0,129429.85,775280.33,561587.97
7,5,1,721126.92,13003.05,2600.61,1300.3,1692.67,2132.02,355.34,3780.2,6222.409999999998,4166.67,47761.38,47761.38,37.26,35209.84,249676.92,182462.55,1,0.0,0.0,0.0,0.0,0.0,0.0,134701.17,777218.53,561013.5
7,6,1,721126.92,12583.6,2516.72,1258.36,1692.67,2137.35,356.23,3780.2,5880.630000000001,4166.67,47798.7,47798.7,37.32,36468.2,249714.24,187471.29,1,0.0,0.0,0.0,0.0,0.0,0.0,139672.59,779161.58,560435.75
7,7,1,721126.92,13003.05,2600.61,1300.3,1692.67,2142.69,357.12,3780.2,6209.959999999998,4166.67,47836.08,47836.08,37.38,37768.5,249751.62,192767.42,1,0.0,0.0,0.0,0.0,0.0,0.0,144931.34,781109.49,559854.71
7,8,1,721126.92,13003.05,2600.61,1300.3,1692.67,2148.05,358.01,3780.2,6203.709999999998,4166.67,47873.58,47873.58,37.5,39068.8,249789.12,198057.3,1,0.0,0.0,0.0,0.0,0.0,0.0,150183.72,783062.26,559270.34
7,9,1,721126.92,12583.6,2516.72,1258.36,1692.67,2153.42,358.9,3780.2,5861.890000000001,4166.67,47911.14,47911.14,37.56,40327.16,249826.68,203047.3,1,0.0,0.0,0.0,0.0,0.0,0.0,155136.16,785019.91,558682.65
7,10,1,721126.92,13003.05,2600.61,1300.3,1692.67,2158.8,359.8,3780.2,6191.169999999998,4166.67,47948.82,47948.82,37.68,41627.46,249864.36,208324.64,1,0.0,0.0,0.0,0.0,0.0,0.0,160375.82,786982.46,558091.59
