Year,Month,Units,PriceParity,GrossIncome,Mgmt,CapexOps,HOA_Monthly_Total,Insurance,Tax,DebtService_Total,NOI,SavingsToCash,RainyTarget,RainyBalance,RainyTopup,CapexBalance,LiquidityRequired,LiquidityActual,FreezeFlag,Purchase,Purchase_DP,Purchase_Closing,Purchase_Total,FeederDraw_Net,FeederPrepay,EndCash,TotalValue,TotalDebt
1,1,0,694669.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,211874.07,9166.67,1,0.0,0.0,0.0,0.0,0.0,0.0,9166.67,0.0,0.0
1,2,0,694669.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,211874.07,13333.34,1,0.0,0.0,0.0,0.0,0.0,0.0,13333.34,0.0,0.0
1,3,0,694669.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,211874.07,17500.01,1,0.0,0.0,0.0,0.0,0.0,0.0,17500.01,0.0,0.0
1,4,0,694669.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,211874.07,21666.68,1,0.0,0.0,0.0,0.0,0.0,0.0,21666.68,0.0,0.0
1,5,0,694669.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,211874.07,25833.35,1,0.0,0.0,0.0,0.0,0.0,0.0,25833.35,0.0,0.0
1,6,0,694669.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,211874.07,30000.02,1,0.0,0.0,0.0,0.0,0.0,0.0,30000.02,0.0,0.0
1,7,0,694669.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,211874.07,34166.69,1,0.0,0.0,0.0,0.0,0.0,0.0,34166.69,0.0,0.0
1,8,0,694669.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,211874.07,38333.36,1,0.0,0.0,0.0,0.0,0.0,0.0,38333.36,0.0,0.0
1,9,0,694669.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,211874.07,42500.03,1,0.0,0.0,0.0,0.0,0.0,0.0,42500.03,0.0,0.0
1,10,0,694669.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,211874.07,46666.7,1,0.0,0.0,0.0,0.0,0.0,0.0,46666.7,0.0,0.0
1,11,0,694669.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.67,0.0,0.0,0.0,0.0,211874.07,50833.37,1,0.0,0.0,0.0,0.0,0.0,0.0,50833.37,0.0,0.0
