GrossIncome,Mgmt,CapexOps,HOA,Insurance,Tax,DebtService,NOI,Year,Units,TotalValue,TotalDebt,EndCash
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,55000.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,105000.08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,155000.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,722929.74,576414.48,39140.97
141549.94,28310.0,14154.94,0.0,24187.46,4031.23,0.0,67606.97,5,1,744918.34,570348.37,51538.35
147211.92,29442.4,14721.17,0.0,24923.16,4153.85,0.0,69885.15,6,1,767575.74,563853.43,110208.37
153100.44,30620.09,15310.01,0.0,25681.18,4280.22,0.0,72206.91,7,1,790922.3,556899.34,170542.31
225967.85,45193.57,22596.81,0.0,36452.45,6075.41,0.0,107169.06,8,2,1546990.61,1136900.88,39709.0
331186.88,66237.38,33118.67,0.0,51758.52,8626.41,0.0,157180.77,9,2,1594043.81,1124097.66,122913.8
344434.35,68886.88,34443.43,0.0,53332.8,8888.81,0.0,162151.38,10,3,2365457.92,1650803.8,7680.97
537317.57,107463.54,53731.77,0.0,79142.42,13190.41,0.0,254618.48,11,3,2437405.59,1630494.74,75450.7
558810.28,111762.05,55881.02,0.0,81549.63,13591.6,0.0,262372.12,12,3,2511541.61,1608779.42,196476.12
758430.56,151686.12,75843.05,0.0,106174.07,17695.66,0.0,356630.48,13,5,4053922.98,2914604.16,5013.95
1058130.08,211626.03,105813.0,0.0,141613.43,23602.25,0.0,498529.66,14,6,4905592.21,3507359.87,101183.17
1362796.46,272559.29,136279.63,0.0,176132.25,29355.37,0.0,640375.01,15,7,5788642.17,4003289.7,92729.98
1525367.61,305073.51,152536.79,0.0,193673.8,32278.98,0.0,710114.96,16,7,5964709.27,4195919.85,201915.54
1586382.32,317276.49,158638.21,0.0,199564.58,33260.76,0.0,729316.05,17,7,6146131.61,3865301.01,555871.51
1649837.65,329967.54,164983.77,0.0,205634.52,34272.44,0.0,748441.55,18,7,6333072.08,3666520.01,664584.84
1715831.12,343166.18,171583.09,0.0,211889.1,35314.84,0.0,767417.6,19,7,6525698.53,4046746.52,565137.23
1784464.41,356892.87,178446.4,0.0,218333.9,36388.99,0.0,786161.85,20,7,6724183.89,4228837.99,1743851.16
1855842.98,371168.62,185584.25,0.0,224974.75,37495.8,0.0,804582.09,21,7,6928706.38,4011361.35,1832989.34
1930076.68,386015.32,193007.64,0.0,231817.56,38636.27,0.0,822576.01,22,7,7139449.61,4427348.7,1694983.97
2007279.73,401455.96,200727.98,0.0,238868.53,39811.42,0.0,840029.74,23,7,7356602.81,4626566.12,2951912.16
2087570.89,417514.18,208757.07,0.0,246133.93,41022.33,0.0,856817.33,24,7,7580360.92,4388635.51,3013013.93
2171073.79,434214.71,217107.39,0.0,253620.32,42270.05,0.0,872798.95,25,7,7810924.85,4843747.04,2821470.58
2257916.74,451583.32,225791.69,0.0,261334.43,43555.74,0.0,887819.89,26,7,8048501.61,5061701.15,4151522.64
2348233.37,469646.69,234823.34,0.0,269283.15,44880.52,0.0,901709.81,27,7,8293304.48,4801392.83,4168315.84
2442162.71,488432.53,244216.3,0.0,277473.67,46245.61,0.0,914280.62,28,7,8545553.28,5299308.24,3903272.92
2539849.21,507969.83,253984.9,0.0,285913.3,47652.22,0.0,925325.1,29,7,8805474.46,5537761.23,5296997.93
2641443.19,528288.62,264144.35,0.0,294609.61,49101.6,0.0,934615.48,30,7,9073301.39,5252970.55,5247464.87
