Year,Properties Owned,Total Portfolio Value,Total Debt,Total Equity,LTV %,Total Cash Reserves,Annual Rental Income,Annual NOI,Annual Operating Cash Flow,Annual Distributable Cash Flow
1,0,0.0,0.0,0.0,0.0,56130.63,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0,109344.41,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0,164726.2,0.0,0.0,0.0,0.0
4,0,0.0,0.0,0.0,0.0,222364.33,0.0,0.0,0.0,0.0
5,1,831133.44,607443.09,223690.35,73.09,65475.32,106647.20999999999,50385.38999999999,1380.26,1351.49
6,1,856413.16,547629.2,308783.96,63.94,88971.15,147211.92,69754.1,3912.33,3912.33
7,1,882461.79,481333.7,401128.09,54.54,114371.13,153100.44,72855.27,6424.59,6424.59
8,2,1830313.01,1326517.96,503795.05,72.47,115750.62,199357.73,95164.86000000002,11429.0,9618.85
9,2,1885983.73,1231436.65,654547.08,65.29,152758.34,331186.88,158470.12,23512.97,23512.97
10,2,1943347.73,1104595.05,838752.68,56.84,193418.36,344434.35,165493.53,29211.62,29211.62
11,3,3038467.85,2019725.95,1018741.9,66.47,230911.91,403356.2,194275.75000000003,35814.4,32197.83
12,4,4216438.65,2959442.42,1256996.23,70.19,273702.84,652710.8200000001,313882.84,49886.6,44690.22
13,4,4344685.67,2751820.27,1592865.4,63.34,343132.75,774883.57,373350.36,65399.01,65399.01
14,6,6801772.06,4862428.52,1939343.54,71.49,395288.69,873771.45,422199.67,80438.83,64190.72
15,7,8211596.56,5850224.79,2361371.77,71.24,515772.93,1257171.12,607245.0100000001,110305.9,108958.48999999999
16,7,8461360.12,5289418.07,3171942.05,62.51,477954.17,1525367.61,738399.7,137693.63,124147.41
17,7,8718720.49,4600133.93,4118586.56,52.76,490360.04,1586382.32,771007.5499999998,195733.41999999998,195733.41999999998
18,7,8983908.71,3750620.84,5233287.87,41.75,426100.6,1649837.6500000001,805013.3800000001,274049.81,274049.81
19,7,9257162.9,2876745.71,6380417.19,31.08,436355.85,1715831.1199999999,840475.5399999999,369580.22,369580.22
20,7,9538728.36,1833869.73,7704858.63,19.23,380638.58,1784464.41,877455.5,469508.91000000003,469508.91000000003
21,7,9828857.91,758650.96,9070206.95,7.72,407482.62,1855842.98,916016.7800000001,582113.34,582113.34
22,7,10127812.03,0.0,10127812.03,0.0,782012.37,1930076.6800000002,956225.9700000001,728029.12,728029.12
23,7,10435859.13,0.0,10435859.13,0.0,1881353.98,2007279.73,998152.0,797424.02,797424.02
24,7,10753275.77,0.0,10753275.77,0.0,3070005.23,2087570.8900000001,1041866.8400000001,833109.77,833109.77
25,7,11080346.94,0.0,11080346.94,0.0,4353503.09,2171073.79,1087445.6600000001,870338.27,870338.27
26,7,11417366.3,0.0,11417366.3,0.0,5737689.41,2257916.7399999998,1134966.31,909174.61,909174.61
27,7,11764636.42,0.0,11764636.42,0.0,7228726.72,2348233.37,1184510.0200000003,949686.67,949686.67
28,7,12122469.09,0.0,12122469.09,0.0,8833115.2,2442162.71,1236161.76,991945.46,991945.46
29,7,12491185.59,0.0,12491185.59,0.0,10557709.3,2539849.21,1290009.36,1036024.46,1036024.46
30,7,12871116.95,0.0,12871116.95,0.0,12409736.42,2641443.19,1346144.8,1082000.45,1082000.45
