Year,Properties Owned,Annual Rental Income,Annual Property Management,Annual CapEx & Maintenance,Annual HOA Fees,Annual Property Insurance,Annual Property Taxes,Annual Debt Service,Annual NOI,Annual Cash Flow
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,106647.20999999999,21329.449999999997,10664.68,11230.65,20315.760000000002,3385.96,38340.450000000004,50385.38999999999,12044.94
6,1,147211.92,29442.4,14721.17,15573.119999999999,27807.69,4634.61,51120.600000000006,69754.1,18633.5
7,1,153100.44,30620.09,15310.08,16196.04,28653.48,4775.5599999999995,51120.600000000006,72855.27,21734.67
8,2,199357.73,39871.54,19935.79,21054.9,37085.53,6180.9,63800.07000000001,95164.86000000002,31364.79
9,2,331186.88,66237.38,33118.67,35035.32,61237.78,10206.28,101838.48000000001,158470.12,56631.64
10,2,344434.35,68886.88,34443.43,36436.8,63100.4,10516.74,101838.48000000001,165493.53,63655.05
11,3,403356.2,80671.23,40335.66,42630.99,73524.19,12254.04,118125.69,194275.75000000003,76150.06
12,4,652710.8200000001,130542.17,65271.08,68967.54000000001,119415.66,19902.61,198725.16,313882.84,115157.68
13,4,774883.57,154976.73,77488.35,81972.84,141071.71,23511.93,230463.0,373350.36,142887.36000000002
14,6,873771.45,174754.27,87377.14,92356.04000000001,158109.85,26351.62,254383.7,422199.67,167815.97
15,7,1257171.12,251434.25,125717.07,132992.76,227570.65,37928.45,371222.04,607245.0100000001,236022.97
16,7,1525367.61,305073.51,152536.79,161364.48,274739.92,45790.0,448169.28,738399.7,290230.42
17,7,1586382.32,317276.49,158638.21,167819.16,283096.4,47182.72,416635.92000000004,771007.5499999998,354371.63
18,7,1649837.6500000001,329967.54,164983.77,174531.84,291707.04,48617.85,365979.8,805013.3800000001,439033.58
19,7,1715831.1199999999,343166.18,171583.09,181513.2,300579.6,50096.6,299312.23,840475.5399999999,541163.3099999999
20,7,1784464.41,356892.87,178446.47,188773.68,309722.02,51620.340000000004,229500.12,877455.5,647955.38
21,7,1855842.98,371168.62,185584.25,196324.68,319142.49,53190.41,148319.19,916016.7800000001,767697.59
22,7,1930076.6800000002,386015.32,193007.64,204177.59999999998,328849.54,54808.25,35189.21,956225.9700000001,921036.76
23,7,2007279.73,401455.96,200727.98,212344.68,338851.78,56475.31,0.0,998152.0,998152.0
24,7,2087570.8900000001,417514.18000000005,208757.06999999998,220838.52,349158.3,58193.05,0.0,1041866.8400000001,1041866.84
25,7,2171073.79,434214.71,217107.38999999998,229672.08000000002,359778.3,59963.04,0.0,1087445.6600000001,1087445.66
26,7,2257916.7399999998,451583.32,225791.7,238858.91999999998,370721.29,61786.9,0.0,1134966.31,1134966.31
27,7,2348233.37,469646.69,234823.35,248413.32,381997.13,63666.21,0.0,1184510.0200000003,1184510.02
28,7,2442162.71,488432.52999999997,244216.3,258349.80000000002,393615.95,65602.67,0.0,1236161.76,1236161.76
29,7,2539849.21,507969.82999999996,253984.9,268683.83999999997,405588.15,67598.03,0.0,1290009.36,1290009.3599999999
30,7,2641443.19,528288.62,264144.35000000003,279431.16000000003,417924.52,69654.09,0.0,1346144.8,1346144.8
