Year,Month,Unit_ID,Unit_Value,Unit_Debt,Unit_Equity,Unit_LTV,Unit_Monthly_Payment,Unit_Interest_Rate,Is_Feeder,Months_Since_Last_Refi
5,6,0,818774.8,635089.0,183685.8,77.57,4260.05,6.85,True,3
5,7,0,820821.74,630462.56,190359.18,76.81,4260.05,6.85,True,4
5,8,0,822873.8,625814.33,197059.47,76.05,4260.05,6.85,True,5
5,9,0,824930.98,621362.6,203568.38,75.32,4260.05,6.85,True,6
5,10,0,826993.31,616671.69,210321.62,74.57,4260.05,6.85,True,7
5,11,0,829060.79,612177.09,216883.7,73.84,4260.05,6.85,True,8
5,12,0,831133.44,607443.09,223690.35,73.09,4260.05,6.85,True,9
6,6,0,843678.62,578320.74,265357.88,68.55,4260.05,6.85,True,15
6,7,0,845787.82,573190.65,272597.17,67.77,4260.05,6.85,True,16
6,8,0,847902.29,568036.02,279866.27,66.99,4260.05,6.85,True,17
6,9,0,850022.05,563083.89,286938.16,66.24,4260.05,6.85,True,18
6,10,0,852147.1,557881.13,294265.97,65.47,4260.05,6.85,True,19
6,11,0,854277.47,552880.61,301396.86,64.72,4260.05,6.85,True,20
6,12,0,856413.16,547629.2,308783.96,63.94,4260.05,6.85,True,21
7,6,0,869339.92,515333.16,354006.76,59.28,4260.05,6.85,True,27
7,7,0,871513.27,509656.18,361857.09,58.48,4260.05,6.85,True,28
7,8,0,873692.05,503951.68,369740.37,57.68,4260.05,6.85,True,29
7,9,0,875876.28,498455.78,377420.5,56.91,4260.05,6.85,True,30
7,10,0,878065.97,492697.2,385368.77,56.11,4260.05,6.85,True,31
7,11,0,880261.13,487146.94,393114.19,55.34,4260.05,6.85,True,32
7,12,0,882461.79,481333.7,401128.09,54.54,4260.05,6.85,True,33
8,10,0,904773.19,656592.33,248180.86,72.57,3994.06,5.88,True,1
8,11,0,907035.12,650177.39,256857.73,71.68,3994.06,5.88,True,2
8,12,0,909302.71,643250.33,266052.38,70.74,3994.06,5.88,True,3
8,9,1,914137.12,685024.01,229113.11,74.94,4492.48,6.85,False,0
8,10,1,916422.46,684441.88,231980.58,74.69,4492.48,6.85,False,1
8,11,1,918713.52,683856.43,234857.09,74.44,4492.48,6.85,False,2
8,12,1,921010.3,683267.63,237742.67,74.19,4492.48,6.85,False,3
9,10,0,932292.73,570481.82,361810.91,61.19,3994.06,5.88,True,13
9,11,0,934623.46,563259.76,371363.7,60.27,3994.06,5.88,True,14
9,12,0,936960.02,555502.3,381457.72,59.29,3994.06,5.88,True,15
9,9,1,941941.48,677814.89,264126.59,71.96,4492.48,6.85,False,12
9,10,1,944296.33,677191.61,267104.72,71.71,4492.48,6.85,False,13
9,11,1,946657.07,676564.77,270092.3,71.47,4492.48,6.85,False,14
9,12,1,949023.71,675934.35,273089.36,71.22,4492.48,6.85,False,15
10,10,0,960649.3,459023.38,501625.92,47.78,3994.06,5.88,True,25
10,11,0,963050.93,448102.0,514948.93,46.53,3994.06,5.88,True,26
10,12,0,965458.56,436512.38,528946.18,45.21,3994.06,5.88,True,27
10,9,1,970591.53,670096.14,300495.39,69.04,4492.48,6.85,False,24
10,10,1,973018.01,669428.8,303589.21,68.8,4492.48,6.85,False,25
10,11,1,975450.55,668757.65,306692.9,68.56,4492.48,6.85,False,26
10,12,1,977889.18,668082.67,309806.51,68.32,4492.48,6.85,False,27
11,11,0,992343.04,736432.65,255910.39,74.21,4369.71,5.88,False,2
11,12,0,994823.9,735668.39,259155.51,73.95,4369.71,5.88,False,3
11,11,1,1005119.81,525673.57,479446.24,52.3,4492.48,6.85,True,38
11,12,1,1007632.61,515474.4,492158.21,51.16,4492.48,6.85,True,39
11,10,2,1030850.64,769904.03,260946.61,74.69,5053.42,6.85,False,1
11,11,2,1033427.77,769245.47,264182.3,74.44,5053.42,6.85,False,2
11,12,2,1036011.34,768583.16,267428.18,74.19,5053.42,6.85,False,3
12,12,0,1025082.42,642195.54,382886.88,62.65,4369.71,5.88,True,15
12,11,1,1035691.49,760479.66,275211.83,73.43,4526.56,5.88,False,5
12,12,1,1038280.72,759676.29,278604.43,73.17,4526.56,5.88,False,6
12,11,2,1064860.46,761043.34,303817.12,71.47,5053.42,6.85,False,14
12,12,2,1067522.61,760334.2,307188.41,71.22,5053.42,6.85,False,15
12,11,3,1082845.78,797937.06,284908.72,73.69,5255.56,6.85,False,5
12,12,3,1085552.9,797236.39,288316.51,73.44,5255.56,6.85,False,6
13,12,0,1056261.28,462084.91,594176.37,43.75,4369.71,5.88,True,27
13,11,1,1067193.04,750575.33,316617.71,70.33,4526.56,5.88,False,17
13,12,1,1069861.02,749723.47,320137.55,70.08,4526.56,5.88,False,18
13,11,2,1097249.21,752261.4,344987.81,68.56,5053.42,6.85,False,26
13,12,2,1099992.33,751502.13,348490.2,68.32,5053.42,6.85,False,27
13,11,3,1115781.58,789259.96,326521.62,70.74,5255.56,6.85,False,17
13,12,3,1118571.03,788509.76,330061.27,70.49,5255.56,6.85,False,18
14,12,0,1088388.48,804859.03,283529.45,73.95,4780.69,5.88,False,3
14,12,1,1102401.87,703690.72,398711.15,63.83,4526.56,5.88,True,30
14,12,2,1133449.65,844123.7,289325.95,74.47,5003.54,5.88,False,1
14,12,3,1152593.44,779166.21,373427.23,67.6,5255.56,6.85,False,30
14,12,4,1165371.85,864551.53,300820.32,74.19,5684.42,6.85,False,3
14,11,5,1156675.08,866773.91,289901.17,74.94,5684.42,6.85,False,0
14,12,5,1159566.77,866037.33,293529.44,74.69,5684.42,6.85,False,1
15,12,0,1121492.86,794500.29,326992.57,70.84,4780.69,5.88,False,15
15,12,1,1135932.48,848958.36,286974.12,74.74,5027.03,5.88,False,0
15,12,2,1167924.61,833387.46,334537.15,71.36,5003.54,5.88,False,13
15,12,3,1187650.67,759797.76,427852.91,63.97,5255.56,6.85,True,42
