Year,Properties,Total Value,Total Debt,Total Equity,Total Monthly Payment,Avg LTV %
5,1,831133.44,607443.09,223690.35,4260.05,73.09
6,1,856413.16,547629.2,308783.96,4260.05,63.94
7,1,882461.79,481333.7,401128.09,4260.05,54.54
8,2,1830313.01,1326517.96,503795.05000000005,8486.539999999999,72.465
9,2,1885983.73,1231436.65,654547.08,8486.539999999999,65.255
10,2,1943347.7400000002,1104595.05,838752.6900000001,8486.539999999999,56.765
11,3,3038467.85,2019725.9500000002,1018741.9,13915.61,66.43333333333334
12,4,4216438.65,2959442.42,1256996.23,19205.25,70.12
13,4,4344685.66,2751820.27,1592865.3900000001,19205.25,63.16
14,6,6801772.0600000005,4862428.52,1939343.54,30935.190000000002,71.455
15,7,8211596.5600000005,5850224.79,2361371.77,37347.45,71.25428571428571
16,7,8461360.11,5289418.07,3171942.04,37347.45,62.59285714285714
17,7,8718720.48,4600133.93,4118586.5500000003,32091.89,52.682857142857145
18,7,8983908.71,3750620.84,5233287.87,27311.2,41.56142857142857
19,7,9257162.91,2876745.71,6380417.2,21626.78,30.987142857142857
20,7,9538728.379999999,1833869.73,7704858.65,16623.239999999998,19.237142857142857
21,7,9828857.91,758650.96,9070206.95,5027.03,7.971428571428571
22,7,10127812.04,0.0,10127812.04,0.0,0.0
23,7,10435859.129999999,0.0,10435859.129999999,0.0,0.0
24,7,10753275.76,0.0,10753275.76,0.0,0.0
25,7,11080346.94,0.0,11080346.94,0.0,0.0
26,7,11417366.29,0.0,11417366.29,0.0,0.0
27,7,11764636.42,0.0,11764636.42,0.0,0.0
28,7,12122469.1,0.0,12122469.1,0.0,0.0
29,7,12491185.6,0.0,12491185.6,0.0,0.0
30,7,12871116.940000001,0.0,12871116.940000001,0.0,0.0
