Year,Properties Owned,Total Portfolio Value,Total Debt,Total Equity,LTV %,Operating Cash,Emergency Reserve,Growth Savings,Total Cash Reserves,Annual Rental Income,Annual NOI,Annual Operating Cash Flow,Annual Distributable Cash Flow,Annual Principal Prepayment,Annual Interest Earned
1,0,0.0,0.0,0.0,0.0,1000.0,0.0,55130.63,56130.63,0.0,0.0,0.0,0.0,0.0,1130.63
2,0,0.0,0.0,0.0,0.0,1000.0,0.0,108344.41,109344.41,0.0,0.0,0.0,0.0,0.0,3213.78
3,0,0.0,0.0,0.0,0.0,1000.0,0.0,163726.2,164726.2,0.0,0.0,0.0,0.0,0.0,5381.79
4,0,0.0,0.0,0.0,0.0,1000.0,0.0,221364.33,222364.33,0.0,0.0,0.0,0.0,0.0,7638.14
5,1,831133.44,607443.09,223690.35,73.09,8167.81,41670.72,15636.79,65475.32,106647.20999999999,50385.38999999999,1380.26,1351.49,35986.9,3965.77
6,1,856413.16,547629.2,308783.96,63.94,8298.61,43368.45,37304.09,88971.15,147211.92,69754.1,3912.33,3912.33,48182.95,3045.19
7,1,882461.79,481333.7,401128.09,54.54,8433.89,45135.35,60801.89,114371.13,153100.44,72855.27,6424.59,6424.59,50354.36,4019.62
8,2,1830313.01,1326517.96,503795.05,72.47,17151.46,86183.12,12416.04,115750.62,199357.73,95164.86000000002,11429.0,9618.85,60119.05,4863.18
9,2,1885983.73,1231436.65,654547.08,65.29,17441.91,89694.37,45622.06,152758.34,331186.88,158470.12,23512.97,23512.97,74924.24,5300.3
10,2,1943347.73,1104595.05,838752.68,56.84,17742.3,93348.67,82327.39,193418.36,344434.35,165493.53,29211.62,29211.62,100289.34,6846.9
11,3,3038467.85,2019725.95,1018741.9,66.47,28376.5,142586.13,59949.28,230911.91,403356.2,194275.75000000003,35814.4,32197.83,220865.61,8842.19
12,4,4216438.65,2959442.42,1256996.23,70.19,39267.6,198781.04,35654.2,273702.84,652710.8200000001,313882.84,49886.6,44690.22,121096.42,10034.630000000001
13,4,4344685.67,2751820.27,1592865.4,63.34,39940.76,206879.68,96312.31,343132.75,774883.57,373350.36,65399.01,65399.01,160350.15,12203.98
14,6,6801772.06,4862428.52,1939343.54,71.49,63359.57,316797.85,15131.27,395288.69,873771.45,422199.67,80438.83,64190.72,398303.43999999994,15706.25
15,7,8211596.56,5850224.79,2361371.77,71.24,184670.61,331102.32,0.0,515772.93,1257171.12,607245.0100000001,110305.9,108958.48999999999,182307.52000000002,17747.44
16,7,8461360.12,5289418.07,3171942.05,62.51,77873.64,400080.53,0.0,477954.17,1525367.61,738399.7,137693.63,124147.41,468972.0,18940.28
17,7,8718720.49,4600133.93,4118586.56,52.76,73979.61,416380.43,0.0,490360.04,1586382.32,771007.5499999998,195733.41999999998,195733.41999999998,593345.87,19377.72
18,7,8983908.71,3750620.84,5233287.87,41.75,70607.01,355493.59,0.0,426100.6,1649837.6500000001,805013.3800000001,274049.81,274049.81,757716.94,19204.59
19,7,9257162.9,2876745.71,6380417.19,31.08,66378.88,369976.97,0.0,436355.85,1715831.1199999999,840475.5399999999,369580.22,369580.22,791533.16,17269.13
20,7,9538728.36,1833869.73,7704858.63,19.23,62881.48,317757.1,0.0,380638.58,1784464.41,877455.5,469508.91000000003,469508.91000000003,969729.34,16625.83
21,7,9828857.91,758650.96,9070206.95,7.72,76779.62,330703.0,0.0,407482.62,1855842.98,916016.7800000001,582113.34,582113.34,1016628.79,15431.03
22,7,10127812.03,0.0,10127812.03,0.0,504144.31,277868.06,0.0,782012.37,1930076.6800000002,956225.9700000001,728029.12,728029.12,737471.4,16558.3
23,7,10435859.13,0.0,10435859.13,0.0,1592165.13,289188.85,0.0,1881353.98,2007279.73,998152.0,797424.02,797424.02,0.0,51189.58
24,7,10753275.77,0.0,10753275.77,0.0,2769034.39,300970.84,0.0,3070005.23,2087570.8900000001,1041866.8400000001,833109.77,833109.77,0.0,96784.39
25,7,11080346.94,0.0,11080346.94,0.0,4040270.23,313232.86,0.0,4353503.09,2171073.79,1087445.6600000001,870338.27,870338.27,0.0,146052.2
26,7,11417366.3,0.0,11417366.3,0.0,5411694.95,325994.46,0.0,5737689.41,2257916.7399999998,1134966.31,909174.61,909174.61,0.0,199220.0
27,7,11764636.42,0.0,11764636.42,0.0,6889450.74,339275.98,0.0,7228726.72,2348233.37,1184510.0200000003,949686.67,949686.67,0.0,256527.30000000002
28,7,12122469.09,0.0,12122469.09,0.0,8480016.6,353098.6,0.0,8833115.2,2442162.71,1236161.76,991945.46,991945.46,0.0,318226.72
29,7,12491185.59,0.0,12491185.59,0.0,10190224.92,367484.38,0.0,10557709.3,2539849.21,1290009.36,1036024.46,1036024.46,0.0,384584.76
30,7,12871116.95,0.0,12871116.95,0.0,12027280.15,382456.27,0.0,12409736.42,2641443.19,1346144.8,1082000.45,1082000.45,0.0,455882.31
