YYYY-MM,Starting Cash,Savings In,Gross Revenue,Mgmt Expense,CapEx Operating,HOA,Insurance,Property Tax,Debt Service (Total),Scheduled Principal,Interest Portion,Ops Net,Feeder Prepay,Purchase: Down Payment,Purchase: Closing Costs,Purchase: Initial Rainy Funding,Purchase Out (Total),New Loan Principal,Loan Balance (End),End Cash
Y1-01,5000.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76698.64,11504.8,0.0,0.0,0.0,0.0,9166.67
Y1-02,9166.67,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76698.64,11504.8,0.0,0.0,0.0,0.0,13333.33
Y1-03,13333.33,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76698.64,11504.8,0.0,0.0,0.0,0.0,17500.0
Y1-04,17500.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76698.64,11504.8,0.0,0.0,0.0,0.0,21666.67
Y1-05,21666.67,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76698.64,11504.8,0.0,0.0,0.0,0.0,25833.33
Y1-06,25833.33,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76698.64,11504.8,0.0,0.0,0.0,0.0,30000.0
Y1-07,30000.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76698.64,11504.8,0.0,0.0,0.0,0.0,34166.67
Y1-08,34166.67,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76698.64,11504.8,0.0,0.0,0.0,0.0,38333.33
Y1-09,38333.33,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76698.64,11504.8,0.0,0.0,0.0,0.0,42500.0
Y1-10,42500.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76698.64,11504.8,0.0,0.0,0.0,0.0,46666.67
Y1-11,46666.67,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76698.64,11504.8,0.0,0.0,0.0,0.0,50833.33
Y1-12,50833.33,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76698.64,11504.8,0.0,0.0,0.0,0.0,55000.0
Y2-01,55000.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76092.7,11413.9,0.0,0.0,0.0,0.0,59166.67
Y2-02,59166.67,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76092.7,11413.9,0.0,0.0,0.0,0.0,63333.33
