YYYY-MM,UnitID,Starting Cash,Savings In,Gross Revenue,Mgmt Expense,CapEx Operating,HOA,Insurance,Property Tax,Debt Service (Total),Scheduled Principal,Interest Portion,Ops Net,HY Interest (Cash),HY Interest (Rainy),HY Interest (Capex),Rainy Top-Up,Capex Top-Up,Rainy Balance,Capex Balance,Liquidity Required,Liquidity Actual,Liquidity Ratio,Freeze Flag,Accessible Principal,Deployable (Cash+Accessible),Feeder Draw (Net),Feeder Prepay,Purchase: Down Payment,Purchase: Closing Costs,Purchase: Initial Rainy Funding,Purchase Out (Total),New Loan Principal,Loan Balance (End),End Cash,Units Owned
Y1-01,TOTAL,5000.0,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.99,0.0,0.0,0.0,345.99,0.0,345.99,345.99,345.99,1.0,0,0.0,8837.66,0.0,0.0,102113.97,15317.1,0.0,0.0,0.0,0,8837.66,0
Y1-02,TOTAL,8837.66,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.12,0.0,1.06,0.0,0.0,0.0,347.05,345.99,347.05,1.003068,0,0.0,13031.45,0.0,0.0,102365.81,15354.87,0.0,0.0,0.0,0,13031.45,0
Y1-03,TOTAL,13031.45,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.27,0.0,1.18,0.0,0.0,0.0,348.23,345.99,348.23,1.006476,0,0.0,17242.39,0.0,0.0,102618.27,15392.74,0.0,0.0,0.0,0,17242.39,0
Y1-04,TOTAL,17242.39,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.69,0.0,1.14,0.0,0.0,0.0,349.38,345.99,349.38,1.009785,0,0.0,21465.74,0.0,0.0,102871.36,15430.7,0.0,0.0,0.0,0,21465.74,0
Y1-05,TOTAL,21465.74,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.92,0.0,1.19,0.0,0.0,0.0,350.56,345.99,350.56,1.013216,0,0.0,25705.33,0.0,0.0,103125.07,15468.76,0.0,0.0,0.0,0,25705.33,0
Y1-06,TOTAL,25705.33,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.51,0.0,1.15,0.0,0.0,0.0,351.71,345.99,351.71,1.016547,0,0.0,29956.51,0.0,0.0,103379.4,15506.91,0.0,0.0,0.0,0,29956.51,0
Y1-07,TOTAL,29956.51,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.77,0.0,1.19,0.0,0.0,0.0,352.91,345.99,352.91,1.02,0,0.0,34224.95,0.0,0.0,103634.36,15545.15,0.0,0.0,0.0,0,34224.95,0
Y1-08,TOTAL,34224.95,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.27,0.0,1.2,0.0,0.0,0.0,354.11,345.99,354.11,1.023465,0,0.0,38507.88,0.0,0.0,103889.95,15583.49,0.0,0.0,0.0,0,38507.88,0
Y1-09,TOTAL,38507.88,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.6,0.0,1.16,0.0,0.0,0.0,355.27,345.99,355.27,1.02683,0,0.0,42801.15,0.0,0.0,104146.17,15621.93,0.0,0.0,0.0,0,42801.15,0
Y1-10,TOTAL,42801.15,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.41,0.0,1.21,0.0,0.0,0.0,356.48,345.99,356.48,1.030319,0,0.0,47113.22,0.0,0.0,104403.02,15660.45,0.0,0.0,0.0,0,47113.22,0
Y1-11,TOTAL,47113.22,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.89,0.0,1.17,0.0,0.0,0.0,357.65,345.99,357.65,1.033706,0,0.0,51434.78,0.0,0.0,104660.51,15699.08,0.0,0.0,0.0,0,51434.78,0
Y1-12,TOTAL,51434.78,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.74,0.0,1.22,0.0,0.0,0.0,358.87,345.99,358.87,1.037218,0,0.0,55776.19,0.0,0.0,104918.63,15737.79,0.0,0.0,0.0,0,55776.19,0
Y2-01,TOTAL,55776.19,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.49,0.0,1.22,0.0,0.0,0.0,360.09,345.99,360.09,1.040741,0,0.0,60132.34,0.0,0.0,104559.39,15683.91,0.0,0.0,0.0,0,60132.34,0
Y2-02,TOTAL,60132.34,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.52,0.0,1.1,0.0,0.0,0.0,361.19,345.99,361.19,1.043935,0,0.0,64483.52,0.0,0.0,104817.26,15722.59,0.0,0.0,0.0,0,64483.52,0
Y2-03,TOTAL,64483.52,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.07,0.0,1.23,0.0,0.0,0.0,362.42,345.99,362.42,1.047482,0,0.0,68869.26,0.0,0.0,105075.77,15761.37,0.0,0.0,0.0,0,68869.26,0
Y2-04,TOTAL,68869.26,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.42,0.0,1.19,0.0,0.0,0.0,363.61,345.99,363.61,1.050925,0,0.0,73262.34,0.0,0.0,105334.91,15800.24,0.0,0.0,0.0,0,73262.34,0
Y2-05,TOTAL,73262.34,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.89,0.0,1.24,0.0,0.0,0.0,364.84,345.99,364.84,1.054496,0,0.0,77677.9,0.0,0.0,105594.7,15839.2,0.0,0.0,0.0,0,77677.9,0
Y2-06,TOTAL,77677.9,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.38,0.0,1.2,0.0,0.0,0.0,366.04,345.99,366.04,1.057962,0,0.0,82099.95,0.0,0.0,105855.12,15878.27,0.0,0.0,0.0,0,82099.95,0
Y2-07,TOTAL,82099.95,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.91,0.0,1.24,0.0,0.0,0.0,367.29,345.99,367.29,1.061557,0,0.0,86545.53,0.0,0.0,106116.19,15917.43,0.0,0.0,0.0,0,86545.53,0
Y2-08,TOTAL,86545.53,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.02,0.0,1.25,0.0,0.0,0.0,368.54,345.99,368.54,1.065163,0,0.0,91006.21,0.0,0.0,106377.9,15956.69,0.0,0.0,0.0,0,91006.21,0
Y2-09,TOTAL,91006.21,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.2,0.0,1.21,0.0,0.0,0.0,369.75,345.99,369.75,1.068665,0,0.0,95472.08,0.0,0.0,106640.26,15996.04,0.0,0.0,0.0,0,95472.08,0
Y2-10,TOTAL,95472.08,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.34,0.0,1.26,0.0,0.0,0.0,371.0,345.99,371.0,1.072295,0,0.0,99963.09,0.0,0.0,106903.26,16035.49,0.0,0.0,0.0,0,99963.09,0
Y2-11,TOTAL,99963.09,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.65,0.0,1.22,0.0,0.0,0.0,372.22,345.99,372.22,1.075821,0,0.0,104458.4,0.0,0.0,107166.91,16075.04,0.0,0.0,0.0,0,104458.4,0
Y2-12,TOTAL,104458.4,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.87,0.0,1.26,0.0,0.0,0.0,373.49,345.99,373.49,1.079476,0,0.0,108979.94,0.0,0.0,107431.22,16114.68,0.0,0.0,0.0,0,108979.94,0
Y3-01,TOTAL,108979.94,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.23,0.0,1.27,0.0,0.0,0.0,374.76,345.99,374.76,1.083143,0,0.0,113516.84,0.0,0.0,107040.54,16056.08,0.0,0.0,0.0,0,113516.84,0
Y3-02,TOTAL,113516.84,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.33,0.0,1.15,0.0,0.0,0.0,375.91,345.99,375.91,1.086466,0,0.0,118031.83,0.0,0.0,107304.53,16095.68,0.0,0.0,0.0,0,118031.83,0
Y3-03,TOTAL,118031.83,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.98,0.0,1.28,0.0,0.0,0.0,377.18,345.99,377.18,1.090157,0,0.0,122599.48,0.0,0.0,107569.17,16135.38,0.0,0.0,0.0,0,122599.48,0
Y3-04,TOTAL,122599.48,4166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.07,0.0,1.24,0.0,0.0,0.0,378.42,345.99,378.42,1.093742,0,0.0,127169.22,0.0,3159.59,107834.46,16175.17,0.0,124009.63,431337.85,428178.26,0.0,1
