YYYY-MM,UnitID,Starting Cash,Savings In,Gross Revenue,Mgmt Expense,CapEx Operating,HOA,Insurance,Property Tax,Debt Service (Total),Scheduled Principal,Interest Portion,Ops Net,HY Interest (Cash),HY Interest (Rainy),HY Interest (Capex),Rainy Top-Up,Capex Top-Up,Rainy Balance,Capex Balance,Liquidity Required,Liquidity Actual,Liquidity Ratio,Freeze Flag,Accessible Principal,Deployable (Cash+Accessible),Feeder Draw (Net),Feeder Prepay,Purchase: Down Payment,Purchase: Closing Costs,Purchase: Initial Rainy Funding,Purchase Out (Total),New Loan Principal,Loan Balance (End),End Cash,Units Owned
Year 1,TOTAL,335321.06,50000.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.18,0.0,12.87,0.0,345.99,0.0,358.87,345.99,358.87,1.037218,0,0.0,55776.19,0.0,0.0,1242126.52,186318.97,0.0,0.0,0.0,0,55776.19,0
Year 2,TOTAL,959746.81,50000.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3203.76,0.0,14.62,0.0,0.0,0.0,373.49,345.99,373.49,1.079476,0,0.0,108979.94,0.0,0.0,1271872.89,190780.95,0.0,0.0,0.0,0,108979.94,0
Year 3,TOTAL,463128.09,50000.04,55737.5,11147.5,2786.85,7214.08,2900.52,3263.1,22611.04,3177.06,19433.98,5814.33,1522.61,429.21,15.23,26760.29,0.0,27189.49,388.7,27377.54,27578.19,1.007329,0,0.0,4950.78,0.0,15546.96,841161.79,113831.88,0.0,124009.63,431337.85,412613.83,0.0,1
Year 4,TOTAL,0.0,50000.04,83037.5,16607.5,4151.84,11145.84,4459.38,5016.8,33916.56,7673.2,26243.36,7739.53,0.0,1107.74,15.84,0.0,0.0,28297.23,404.54,27679.74,28701.77,1.036923,0,43886.74,48787.16,0.0,57739.56,1665818.17,199898.2,0.0,0.0,0.0,347201.08,0.0,1
Year 5,TOTAL,0.0,50000.04,83037.5,16607.5,4151.84,11480.16,4593.16,5167.31,33916.56,12277.63,21638.95,7120.88,0.0,1152.87,16.48,0.0,0.0,29450.1,421.02,27991.0,29871.12,1.067169,0,103413.11,108261.65,0.0,57120.86,1704572.49,204548.7,0.0,0.0,0.0,277802.57,0.0,1
Year 6,TOTAL,0.0,50000.04,90090.0,18018.0,4504.47,12809.95,5122.8,5763.13,36804.91,17508.93,19295.99,7066.69,0.0,1199.84,17.15,5378.14,0.0,36028.08,438.17,56549.66,36466.25,0.644854,1,162916.3,162916.3,159936.82,47061.97,1596512.11,191581.44,0.0,164563.39,440794.79,654026.43,0.0,2
Year 7,TOTAL,0.0,50000.04,228637.5,45727.5,11431.89,33493.16,13235.77,14890.24,94845.58,27968.92,66876.67,15013.37,0.0,2501.64,17.84,59349.3,0.0,97879.01,456.03,114750.53,98335.04,0.856946,1,191377.82,191377.82,328069.74,0.0,297976.6,35757.19,0.0,333733.79,893929.8,1519987.32,0.0,4
Year 8,TOTAL,0.0,50000.04,422467.5,84493.5,21123.36,63768.95,24998.09,28122.83,177514.73,40932.5,136582.19,22446.05,0.0,5239.88,18.58,69015.82,0.0,172134.72,474.61,174852.0,172609.33,0.987174,1,246679.29,246679.29,336131.61,0.0,303180.21,36381.62,0.0,339561.84,909540.63,2388595.46,0.0,6
Year 9,TOTAL,0.0,50000.04,574210.0,114842.0,28710.53,89370.61,34848.95,39205.05,243522.74,53269.89,190252.83,23710.18,0.0,7854.45,19.32,30101.73,0.0,210090.89,493.94,206806.96,210584.83,1.018268,0,350146.14,356928.27,168010.93,39984.72,153245.24,18389.43,0.0,171634.67,459735.73,2755076.6,0.0,7
Year 10,TOTAL,0.0,50000.04,581262.5,116252.5,29063.16,93160.8,36314.27,40853.58,246535.2,61819.65,184715.53,19083.08,0.0,8559.42,20.13,0.0,0.0,218650.31,514.07,209302.76,219164.37,1.047116,0,529612.83,535978.99,0.0,69083.06,0.0,0.0,0.0,0.0,0.0,2624173.88,0.0,7
Year 11,TOTAL,0.0,50000.04,581262.5,116252.5,29063.16,95955.6,37403.71,42079.16,246535.2,70910.3,175624.87,13973.21,0.0,8908.13,20.96,0.0,0.0,227558.44,535.01,211873.44,228093.45,1.076555,0,701352.2,707289.92,0.0,63973.24,0.0,0.0,0.0,0.0,0.0,2489290.37,0.0,7
Year 12,TOTAL,0.0,50000.04,581262.5,116252.5,29063.16,98834.28,38525.83,43341.53,246535.2,80277.48,166257.68,8710.06,0.0,9271.07,21.81,0.0,0.0,236829.51,556.81,214521.23,237386.32,1.106587,0,878285.6,883782.02,0.0,58710.06,0.0,0.0,0.0,0.0,0.0,2350302.83,0.0,7
Year 13,TOTAL,0.0,50000.04,581262.5,116252.5,29063.16,101799.36,39681.58,44641.81,246535.2,89929.74,156605.41,3289.02,0.0,9648.79,22.68,0.0,0.0,246478.3,579.49,217248.46,247057.79,1.137213,0,1060571.8,1065613.68,0.0,53289.01,0.0,0.0,0.0,0.0,0.0,2207084.08,0.0,7
Year 14,TOTAL,0.0,50000.04,581262.5,116252.5,29063.16,104853.36,40872.05,45981.04,246535.2,99875.93,146659.23,-2294.67,0.0,10041.9,23.6,0.0,0.0,256520.19,603.1,220057.51,257123.3,1.168437,0,1248374.56,1252948.27,0.0,47705.34,0.0,0.0,0.0,0.0,0.0,2059502.83,0.0,7
Year 15,TOTAL,0.0,50000.04,581262.5,116252.5,29063.16,107998.92,42098.21,47360.49,223924.16,85114.91,136516.81,14565.17,0.0,10451.03,24.59,0.0,0.0,266971.21,627.67,205992.54,267598.88,1.299071,0,1438061.15,1444979.01,0.0,64565.19,0.0,0.0,0.0,0.0,0.0,1909822.75,0.0,7
Year 16,TOTAL,0.0,50000.04,581262.5,116252.5,29063.16,111238.92,43361.14,48781.31,212618.64,86600.67,126017.9,19946.98,0.0,10876.8,25.57,0.0,0.0,277848.01,653.24,208972.66,278501.26,1.332716,0,1637285.6,1643706.78,0.0,69946.98,0.0,0.0,0.0,0.0,0.0,1753275.1,0.0,7
Year 17,TOTAL,0.0,50000.04,581262.5,116252.5,29063.16,114576.0,44661.98,50244.75,212618.64,97472.58,115146.01,13845.53,0.0,11319.94,26.61,0.0,0.0,289167.95,679.86,212042.18,289847.81,1.366935,0,1842540.65,1848450.25,0.0,63845.54,0.0,0.0,0.0,0.0,0.0,1591956.98,0.0,7
Year 18,TOTAL,0.0,50000.04,581262.5,116252.5,29063.16,118013.28,46001.83,51752.08,212618.64,108675.86,103942.71,7561.06,0.0,11781.13,27.7,0.0,0.0,300949.09,707.56,215203.79,301656.64,1.401726,0,2054011.02,2059393.68,0.0,57561.06,0.0,0.0,0.0,0.0,0.0,1425720.05,0.0,7
Year 19,TOTAL,0.0,50000.04,581262.5,116252.5,29063.16,121553.76,47381.89,53304.62,212618.64,120220.85,92397.72,1088.04,0.0,12261.09,28.82,0.0,0.0,313210.2,736.38,218460.24,313946.58,1.437088,0,2271887.24,2276727.15,0.0,51088.03,0.0,0.0,0.0,0.0,0.0,1254411.15,0.0,7
Year 20,TOTAL,0.0,50000.04,581262.5,116252.5,29063.16,125200.32,48803.34,54903.76,212618.64,132118.21,80500.39,-5579.18,0.0,12760.68,29.99,0.0,0.0,325970.85,766.39,221814.39,326737.23,1.473021,0,2496365.85,2500646.74,0.0,44420.85,0.0,0.0,0.0,0.0,0.0,1077872.11,0.0,7
